index,video_time_s,timer,rate_hz,last_event_time,event_count
"1","0.88s","00:00:00","","A",""
"2","11.54s","00:00:01","","05:05:37. 248 pm","4"
"3","12.49s","00:00:02","","05:05:37. 778 pm","5"
"4","13.56s","00:00:03","","05:05:40. 409 pm","7"
"5","15.54s","00:00:04","","05:05:41. 280 pm","9"
"6","20.52s","00:00:06","","05:05:43. 534 pm","13"
"7","24.85s","00:00:11","","05:05:49. 647 pm","17"
"8","30.57s","00:00:17","","05:05:55. 416 pm","25"
"9","35.56s","00:00:22","","05:06:00. 449 pm","36"
"10","40.67s","00:00:27","","05:06:04. 473 pm","42"
"11","45.73s","00:00:32","","05:06:08. 609 pm","46"
"12","50.75s","00:00:37","","05:06:13. 489 pm","50"
"13","55.64s","00:00:42","","05:06:19. 273 pm","56"
"14","60.84s","00:00:47","","05:06:25. 030 pm","64"
"15","66.80s","00:00:53","","05:06:30. 930 pm","72"
"16","72.24s","00:01:02","","05:06:38. 321 pm","81"
"17","73.17s","00:01:03","","05:06:39. 976 pm","84"
"18","74.35s","00:01:04","","05:06:40. 845 pm","85"
"19","75.49s","00:01:05","","05:06:42. 462 pm","838"
"20","76.63s","00:01:07","","05:06:42. 971 pm","88"
"21","78.13s","00:01:08","","05:06:43. 963 pm","90"
"22","79.18s","00:01:09","","05:06:43. 963 pm","90"
"23","80.18s","00:01:10","","05:06:46. 253 pm","91"
"24","81.98s","00:01:12","","05:06:46. 253 pm","93"
"25","83.09s","00:01:13","","05:06:49. 012 pm","93"
"26","86.97s","00:01:14","","05:06:49. 012 pm","93"
"27","92.00s","00:01:18","","05:06:54. 886 pm","97"
"28","97.08s","00:01:23","","05:06:54. 886 pm","97"
"29","102.08s","00:01:28","","05:07:06. 226 pm","102"
"30","107.12s","00:01:33","","05:07:10. 892 pm","114"
"31","113.07s","00:01:39","1,170","05:07:16. 974 pm","125"
"32","118.04s","00:01:44","1,170","05:07:21. 289 pm","130"
"33","123.13s","00:01:49","1,170","05:07:27. 171 pm","136"
"34","129.08s","00:01:55","1,170","05:07:32. 671 pm","144"
"35","134.05s","00:02:00","1,170","05:07:38. 683 pm","152"
"36","138.18s","00:02:09","1,170","05:07:44. 472 pm","158"
"37","139.67s","00:02:10","1,170","05:07:45. 474 pm","161"
"38","140.76s","00:02:11","1,170","05:07:47. 476 pm","164"
"39","141.76s","00:02:12","1,170","05:07:48. 094 pm","164"
"40","142.92s","00:02:13","1,170","05:07:48. 094 pm","164"
"41","144.29s","00:02:14","1,170","05:07:49. 962 pm","166"
